run_id,model,engine,cell,task,rep,prompt_tokens,completion_tokens,prefill_tps,decode_tps,ttft_s,warm_prefill_tps,warm_ttft_s,wall_s,correct,score,flags
20260618-220001,qwen,main,qual_main_reason,reason,1,88,133,54.77,20.21,1.59,20.41,0.05,8.2,PASS,1.0,
20260618-220001,qwen,main,qual_main_reason,reason,2,88,169,55.89,20.25,1.56,20.03,0.05,9.94,PASS,1.0,
20260618-220001,qwen,main,qual_main_reason,reason,3,88,167,40.41,19.32,2.15,20.53,0.05,10.83,PASS,1.0,
20260618-220001,qwen,main,qual_main_code,code,1,80,83,55.79,20.42,1.42,20.5,0.05,5.52,PASS,1.0,
20260618-220001,qwen,main,qual_main_code,code,2,80,83,58.03,20.34,1.36,20.58,0.05,5.49,PASS,1.0,
20260618-220001,qwen,main,qual_main_code,code,3,80,89,56.81,20.29,1.39,20.73,0.05,5.82,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_16k_short,needle_short,1,17873,5,25.16,9.19,710.25,7.26,0.14,710.87,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_16k_short,needle_short,2,17873,5,25.2,9.22,709.22,7.25,0.14,709.84,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_16k_short,needle_short,3,17873,5,25.16,9.2,710.45,7.31,0.14,711.08,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_16k_long,needle_long,1,17912,1497,24.89,6.95,719.63,7.21,0.14,935.02,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_16k_long,needle_long,2,17912,1706,24.91,6.79,719.04,7.23,0.14,970.5,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_16k_long,needle_long,3,17912,1784,25.1,6.78,713.5,7.4,0.14,976.59,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_30k_short,needle_short,1,18099,5,24.52,8.96,738.04,,,738.73,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_30k_short,needle_short,2,18099,5,24.85,8.9,728.22,,,728.91,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_30k_short,needle_short,3,18099,5,24.78,9.04,730.34,,,731.02,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_30k_long,needle_long,1,18138,1774,24.78,6.64,732.05,,,999.5,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_30k_long,needle_long,2,18138,1709,24.75,6.64,732.98,,,990.34,PASS,1.0,
20260618-220001,qwen,ikfa,spd_ikfa_30k_long,needle_long,3,18138,1838,24.82,6.65,730.71,,,1007.07,PASS,1.0,
